address,city,state,latitude,longitude
2301 Stevens Creek Blvd,San Jose,CA,37.323653,-121.935043
1141 Old Bayshore Highway,San Jose,CA,37.364003,-121.896307
505 E San Carlos St,San Jose,CA,37.336858,-121.876192
247 N Gaffey St,San Pedro,CA,33.74501,-118.292661
732 4th St,San Rafael,CA,37.972629,-122.523616
616 Atlantic Ave,Santa Cruz,CA,36.96397,-122.002798
909 Ocean St,Santa Cruz,CA,36.980345,-122.021858
106 Entrada Dr,Santa Monica,CA,34.027876,-118.518413
1667 Sebastopol Rd,Santa Rosa,CA,38.427847,-122.738307
2800 4th St,Santa Rosa,CA,38.449293,-122.688951
1150 Santa Rosa Ave.,Santa Rosa,CA,38.426003,-122.713206
1021 Hahman Dr,Santa Rosa,CA,38.441553,-122.685679
13456 Ventura Blvd,Sherman Oaks,CA,34.147016,-118.426869
22900 Broadway,Sonoma,CA,38.244382,-122.448882
421 1st St W,Sonoma,CA,38.293441,-122.458915
933 Main St,St Helena,CA,38.501897,-122.465448
10418 Donner Pass Rd,Truckee,CA,39.325508,-120.19122
10144 W River St,Truckee,CA,39.327434,-120.184096
17143 D Street on Rt. 66,Victorville,CA,34.536107,-117.291156
14743 Walnut Grove Thornton Rd,Walnut Grove,CA,38.223644,-121.507182
210 Railroad Ave,Winters,CA,38.521524,-121.968919
1611 Pearl St,Boulder,CO,40.019327,-105.274493
1165 13th St,Boulder,CO,40.008581,-105.276405
26 N 6th Ave,Brighton,CO,39.986972,-104.815374
3472 W 32nd Ave,Denver,CO,39.761932,-105.033994
1500 Curtis St,Denver,CO,39.746282,-104.995692
523 E 17th Ave,Denver,CO,39.743521,-104.980365
6439 E Hampden Ave,Denver,CO,39.6542,-104.914089
3536 W 44th Ave,Denver,CO,39.776496,-105.034255
4355 Main St,Bridgeport,CT,41.219074,-73.216271
623 Main St,Central Manchester,CT,41.773841,-72.521071
306 Black Rock Tpke,Fairfield,CT,41.16406,-73.233673
1851 Post Rd,Fairfield,CT,41.140903,-73.264252
728 Main St,Middletown,CT,41.565926,-72.652535
72 Main St,Norwalk,CT,41.120849,-73.413098
605 Riverside Ave,Westport,CT,41.120322,-73.369701
5037 Connecticut Ave NW,Washington,DC,38.955972,-77.069892
1005 U St NW,Washington,DC,38.917205,-77.026265
210 7th St SE,Washington,DC,38.886968,-76.995652
331 Pennsylvania Ave SE,Washington,DC,38.886369,-77.001167
967 Atlantic Blvd,Atlantic Beach,FL,30.325773,-81.410795
7410 Boynton Beach Blvd,Boynton Beach,FL,26.526242,-80.162687
8799 Cortez Rd W,Bradenton,FL,27.461464,-82.649786
17 SW First Street,Dania Beach,FL,26.050733,-80.144173
2031 NE 2nd Street,Deerfield Beach,FL,26.316699,-80.076565
1857 NW 66th Ave,Hollywood,FL,26.025638,-80.220443
1519 Gulf Blvd.,Indian Rocks Beach,FL,27.898657,-82.847876
887 Stockton St,Jacksonville,FL,30.315095,-81.689063
3302 Hendricks Ave,Jacksonville,FL,30.291148,-81.648882
4728 Ocean St,Jacksonville,FL,30.394549,-81.430345
8736 Sunset Drive,Kendall Lakes,FL,25.701844,-80.343534
509 Lake Ave,Lake Worth,FL,26.615638,-80.053833
1952 W Flagler St,Miami,FL,25.772327,-80.227666
9809 SW 72nd St.,Miami,FL,25.702142,-80.351998
1065 Washington Avenue,Miami Beach,FL,25.781806,-80.132296
819 5th St,Miami Beach,FL,25.774807,-80.136556
2500 NE 163rd St,North Miami Bch,FL,25.925394,-80.149707
4520 S. Tamiami Trail,Sarasota,FL,27.288047,-82.531089
2500 SW 107th Ave.,South Miami,FL,25.745837,-80.368651
1350 Pasadena Ave,South Pasadena,FL,27.75589,-82.736816
3920 6th St S,St Petersburg,FL,27.732997,-82.64056
1450 Skipper Rd,Tampa,FL,28.081429,-82.443805
1600 E 8th Ave,Tampa,FL,27.960655,-82.441628
913 E Hillsborough Ave,Tampa,FL,27.995771,-82.45028
198 Carroll St SE,Atlanta,GA,33.749216,-84.367923
1879 Cheshire Bridge Road NE,Atlanta,GA,33.80925,-84.360929
931 Monroe Dr. Suite C-101,Atlanta,GA,33.779756,-84.367847
200 14th St Nw,Atlanta,GA,33.786238,-84.394261
306 Cobb Parkway,Marietta,GA,33.944756,-84.517488
2020 Demere Rd,St Simons,GA,31.159633,-81.387938
260 Redfern Dr,St Simons Island,GA,31.169334,-81.389151
2299 Main Street,Tucker,GA,33.852098,-84.213555
324 Coral St,Honolulu,HI,21.297929,-157.861039
2 Merchant St,Honolulu,HI,21.31014,-157.863389
1133 N Nimitz Hwy,Honolulu,HI,21.318587,-157.877667
3308 Kanaina Ave,Honolulu,HI,21.275926,-157.814544
91-119 Olai St,Kapolei,HI,21.29647,-158.105473
1840 Meheula Pkwy,Mililani Town,HI,21.468072,-158.002441
94-226 Leoku St,Waipahu,HI,21.379154,-158.024678
1515 W Grove St,Boise,ID,43.619152,-116.21329
202 S Capitol Blvd,Boise City,ID,43.614072,-116.202967
12342 E Hwy 21,Boise City,ID,43.570815,-116.026955
7330 W State St,Boise City,ID,43.66873,-116.279703
1939 W State St,Boise City,ID,43.626117,-116.214942
751 N 4th St,Coeur d'Alene,ID,47.680152,-116.781324
1613 E Sherman Ave,Coeur d'Alene,ID,47.673492,-116.762511
130 E Idaho Ave,Meridian,ID,43.611304,-116.39061
11541 S Pulaski Rd,Alsip,IL,41.682393,-87.71967
6501 W 79th St,Burbank,IL,41.74804,-87.782966
939 N Orleans St,Chicago,IL,41.900045,-87.637017
3619 W North Ave,Chicago,IL,41.909728,-87.717612
3023 N Broadway St,Chicago,IL,41.936775,-87.644281
2954 N Sheffield Ave,Chicago,IL,41.936057,-87.654147
2135 N Milwaukee Ave,Chicago,IL,41.920157,-87.692194
2516 W 63rd St,Chicago,IL,41.779497,-87.686845
1820 West Montrose Avenue,Chicago,IL,41.961738,-87.675514
1213 W 18th St,Chicago,IL,41.857939,-87.656985
1865 N Milwaukee Ave,Chicago,IL,41.915537,-87.685056
2900 W Belmont Ave,Chicago,IL,41.939516,-87.700447
3267 S Halsted St,Chicago,IL,41.834543,-87.645954
1865 N Milwaukee Ave,Chicago,IL,41.915537,-87.685056
3800 N. Pulaski Rd.,Chicago,IL,41.950185,-87.727698
6545 N Clark St,Chicago,IL,42.001323,-87.671275
5840 W Roosevelt Rd,Chicago,IL,41.865515,-87.770601
3258 W Foster Ave,Chicago,IL,41.975912,-87.710989
1073 W Vernon Park Pl,Chicago,IL,41.872875,-87.654017
8433 S Pulaski Rd,Chicago,IL,41.739274,-87.721318
1159 S. Canal St.,Chicago,IL,41.86755,-87.638968
1724 S. River Rd.,Des Plaines,IL,42.022159,-87.876079
1241 Harms Rd,Glenview,IL,42.077965,-87.770014
700 North St.,Springfield,IL,39.766076,-89.663594
38995 N Old Highway 41,Wadsworth,IL,42.444372,-87.939323
645 Joliet Rd,Willowbrook,IL,41.74561,-87.939204
13710 N Meridian St,Carmel,IN,39.987641,-86.138685
1122 S Main St,Goshen,IN,41.57174,-85.829784
6360 Guilford Ave,Indianapolis,IN,39.871941,-86.143065
5130 E 10th St,Indianapolis,IN,39.781813,-86.082333
115 E 49th St,Indianapolis,IN,39.842518,-86.154111
5242 Rockville Rd,Indianapolis,IN,39.76551,-86.249917
1134 E 54th St,Indianapolis,IN,39.851459,-86.138688
11 E Main St,Mooresville,IN,39.612567,-86.374356
2 N Salisbury St,West Lafayette,IN,40.422715,-86.905365
1101 Military Ave.,Baxter Springs,KS,37.02465,-94.735278
3001 Merriam Ln,Kansas City,KS,39.045578,-94.662458
5959 Broadmoor St,Mission,KS,39.020761,-94.665238
5835 Lamar Ave,Mission,KS,39.022812,-94.658092
705 N. Pearl St.,Paola,KS,38.579472,-94.8752
2300 SW 10th Ave.,Topeka,KS,39.051556,-95.706284
4834 E Lincoln St,Wichita,KS,37.672859,-97.279162
710 Fairfield Ave,Bellevue,KY,39.108768,-84.480083
114 Bridge St,Frankfort,KY,38.195497,-84.879058
3101 Clays Mill Road #301,Lexington,KY,38.002837,-84.545874
1216 E New Circle Rd,Lexington-Fayette,KY,38.031359,-84.452867
40 Bond Ln,Olive Hill,KY,38.298765,-83.208987
3854 Old Frankfort Pike,Versailles,KY,38.121252,-84.693978
3449 River Rd.,Jefferson,LA,29.958358,-90.160986
1851 Florida St,Mandeville,LA,30.362803,-90.059344
4330 Magazine St.,New Orleans,LA,29.920594,-90.101054
3001 Magazine St,New Orleans,LA,29.925116,-90.084842
3701 Iberville St,New Orleans,LA,29.973086,-90.095906
3454 Magazine St,New Orleans,LA,29.922227,-90.090322
2533 Constance St,New Orleans,LA,29.926484,-90.08017
3000 Elysian Fields Ave,New Orleans,LA,29.988937,-90.058867
1418 Magazine St,New Orleans,LA,29.935856,-90.071717
4924 Prytania Street,New Orleans,LA,29.924367,-90.108502
801 Poland Ave,New Orleans,LA,29.961665,-90.032205
714 Saint Peter Street,New Orleans,LA,29.958158,-90.06516
1061 Robert Blvd,Slidell,LA,30.289281,-89.771087
16 S Main St,Attleboro,MA,41.944076,-71.283811
1714 Washington St,Boston,MA,42.336947,-71.07601
258 Saratoga St,Boston,MA,42.378294,-71.032076
44 Province St,Boston,MA,42.356872,-71.05992
1246 Massachusetts Ave,Cambridge,MA,42.372521,-71.116321
2366 Massachusetts Ave,Cambridge,MA,42.396358,-71.129563
1 Railroad Ave,Peabody,MA,42.527054,-70.927553
25 Front St,Salem,MA,42.520501,-70.894454
674 Broadway,Somerville,MA,42.399533,-71.111651
88 Eastern Ave.,South Essex,MA,42.633029,-70.762848
32 West Main St.,Spencer,MA,42.236487,-72.007408
1621 Aliceanna St.,Baltimore,MD,39.283286,-76.594225
800 S Broadway,Baltimore,MD,39.282452,-76.593631
6501 Eastern Ave,Baltimore,MD,39.287494,-76.536548
5801 Pulaski Highway,Baltimore,MD,39.301302,-76.548062
3700 Gough St,Baltimore,MD,39.288904,-76.566489
3802 Eastern Avenue,Baltimore,MD,39.286986,-76.565114
8238 Fort Smallwood Road,Baltimore,MD,39.163937,-76.527147
6 Post Office Rd,Silver Spring,MD,39.015184,-77.05561
3 Bridge St,Gardiner,ME,44.23007,-69.774553
315 US Route 1,Kittery,ME,43.113941,-70.730413
390 Commercial St,Portland,ME,43.650676,-70.25698
20 Custom House Wharf,Portland,ME,43.656434,-70.250176
2265 Post Rd,Wells,ME,43.341794,-70.563127
551 S. Division St.,Ann Arbor,MI,42.27454,-83.744323
S Main St,Clarkston,MI,42.72836,-83.418847
18 S Main St,Clarkston,MI,42.735433,-83.418863
22950 Woodward Ave.,Ferndale,MI,42.462204,-83.135149
2990 Yemans St,Hamtramck,MI,42.398103,-83.056651
120 W. Main St.,Potterville,MI,42.629589,-84.742524
4500 14 Mile Rd NE,Rockford,MI,43.176105,-85.55872
180 Miller Rd,Champlin,MN,45.18809,-93.395221
415 Sunnyside Dr,Cloquet,MN,46.733684,-92.46789
1902 E 8th St,Duluth,MN,46.810365,-92.082933
118 S 27th Ave W,Duluth,MN,46.760614,-92.13005
394 Lake Ave S,Duluth,MN,46.781948,-92.094636
413 14th Ave SE,Minneapolis,MN,44.981061,-93.235656
801 W Lake St.,Minneapolis,MN,44.94807,-93.289736
1839 E 42nd St,Minneapolis,MN,44.92677,-93.246593
641 University Ave NE,Minneapolis,MN,44.995645,-93.26134
215 E Hennepin Ave,Minneapolis,MN,44.98789,-93.257365
2519 Marshall St. NE,Minneapolis,MN,45.007557,-93.272442
337 13th Ave NE,Minneapolis,MN,45.001065,-93.262708
414 Cedar Ave. S.,Minneapolis,MN,44.969595,-93.247446
2707 1/2 E Lake St,Minneapolis,MN,44.948011,-93.249028
3756 Grand Ave S,Minneapolis,MN,44.934233,-93.284728
1440 Minnehaha Ave E,St Paul,MN,44.962919,-93.039762
1811 Selby Ave,St Paul,MN,44.946728,-93.176753
492 Hamline Ave. S.,St. Paul,MN,44.92657,-93.156669
2692 E County Road E,White Bear Lake,MN,45.049588,-92.986675
3906 Waddell Ave.,Kansas City,MO,39.056601,-94.596049
417 E. 18th St.,Kansas City,MO,39.091442,-94.578109
549 Gillis St,Kansas City,MO,39.108998,-94.570275
1218 Swift Avenue,Kansas City,MO,39.1312,-94.577767
8431 Wornall Rd,Kansas City,MO,38.974771,-94.594644
1727 McGee St,Kansas City,MO,39.092327,-94.579764
128 W. 18th St.,Kansas City,MO,39.092004,-94.585697
5510 Virginia Ave.,St. Louis,MO,38.564807,-90.245906
4270 Manchester Ave.,St. Louis,MO,38.62683,-90.256709
1201 Washington Ave,Gulfport,MS,30.403807,-89.031409
127 E. First St.,Long Beach,MS,30.35073,-89.149071
7501 Hwy 57,Ocean Springs,MS,30.44732,-88.718422
2900 Wilkinson Blvd,Charlotte,NC,35.224489,-80.889125
3201 N Davidson St,Charlotte,NC,35.247251,-80.805827
1220 Thomas Ave,Charlotte,NC,35.219753,-80.812121
12721 Albemarle Rd,Charlotte,NC,35.223722,-80.638651
4429 Central Ave,Charlotte,NC,35.213961,-80.769473
3101 E Independence Blvd,Charlotte,NC,35.203303,-80.790459
6405 Center Street,Omaha,NE,41.237616,-96.012243
3223 North 45th Street,Omaha,NE,41.287989,-95.980577
4629 South 108th Street,Omaha,NE,41.213184,-96.080681
3235 California St,Omaha,NE,41.264636,-95.961377
157 West Broadway,Council Bluffs,IA,41.262169,-95.845356
5424 S 24th St,Omaha,NE,41.202787,-95.947408
61 Lowell St,Manchester,NH,42.993449,-71.461422
8th Ave. & Broadway St.,Barnegat Light,NJ,39.75762,-74.106247
817 Belmar Plaza,Belmar,NJ,40.180478,-74.026669
301 Beach Ave,Cape May,NJ,38.930407,-74.922996
281 Alwood Rd.,Clifton,NJ,40.836944,-74.152094
Route 1 and Wooding Ave.,Edison,NJ,40.509006,-74.391648
358 River St.,Hackensack,NJ,40.8892,-74.038396
151 Mercer St.,Hightstown,NJ,40.267883,-74.525392
426 Jersey Ave.,Jersey City,NJ,40.716744,-74.048576
Pathmark Shopping Center Route 15,Lake Hopatcong,NJ,40.966251,-74.598472
2019 S Wood Ave,Linden,NJ,40.620783,-74.235143
72 East Mount Pleasant Ave.,Livingston,NJ,40.796235,-74.312024
206 97th St,Stone Harbor,NJ,39.053254,-74.759404
806 New Jersey Ave,Wildwood,NJ,39.003933,-74.798839
230 6th St SW,Albuquerque,NM,35.083547,-106.654206
3916 Central Ave Sw,Albuquerque,NM,35.086121,-106.683503
6313 4th St N.W.,Albuquerque,NM,35.149476,-106.63947
320 Central Ave SE,Albuquerque,NM,35.08335,-106.643774
326 S Guadalupe St,Pojoaque,NM,35.892803,-106.023078
1807 2nd St,Santa Fe,NM,35.662808,-105.96528
235 N Guadalupe St,Santa Fe,NM,35.690681,-105.944483
96 Old Las Vegas Hwy # B,Santa Fe,NM,35.62648,-105.920724
1203 Cerrillos Rd.,Santa Fe,NM,35.67216,-105.96186
1115 Hickox St,Santa Fe,NM,35.681324,-105.958662
512 Nevada Hwy,Boulder City,NV,35.977749,-114.838116
267 N Jones Blvd,Las Vegas,NV,36.175479,-115.224153
855 Mill St,Reno,NV,39.525812,-119.799249
790 W 4th St,Reno,NV,39.527635,-119.824985
301 West 4th Street,Reno,NV,39.529152,-119.818239
565 Hunts Point Ave,Bronx,NY,40.811793,-73.88354
2134 Seneca St,Buffalo,NY,42.85436,-78.808223
3165 Main St,Buffalo,NY,42.950247,-78.826468
749 Military Rd,Buffalo,NY,42.957745,-78.889082
12139 Olean Rd,Chaffee,NY,42.547775,-78.475935
104-05 47th Ave,Corona,NY,40.745922,-73.859361
9160 Transit Rd,East Amherst,NY,43.018483,-78.697269
4189 Us-9,Hyde Park,NY,41.788318,-73.934688
64 Jackson Ave,Lackawanna,NY,42.813168,-78.842255
1706 Sunrise Hwy,Merrick,NY,40.660166,-73.563114
24-20 Jackson Ave,New York,NY,40.746162,-73.944298
24-01 29th Street,New York,NY,40.772773,-73.916412
1269 Erie Ave,North Tonawanda,NY,43.051209,-78.846703
96-40 Queens Blvd.,Rego Park,NY,40.729376,-73.861372
84 Hillside Ave,Williston Park,NY,40.757362,-73.642873
9565 Kenwood Rd,Cincinnati,OH,39.231935,-84.377248
4618 Eastern Ave,Cincinnati,OH,39.118278,-84.419264
2266 Warrensville Center Rd,Cleveland,OH,41.498216,-81.536786
777 Starkweather Ave,Cleveland,OH,41.477338,-81.683067
1835 Fulton Rd,Cleveland,OH,41.484004,-81.709808
1261 W 58th St,Cleveland,OH,41.48871,-81.726048
1401 E 55th St,Cleveland,OH,41.520771,-81.651582
14718 Detroit Ave,Lakewood,OH,41.485345,-81.799047
213 E Main St,Norman,OK,35.221985,-97.441426
109 N 2nd St,Okarche,OK,35.725907,-97.975337
1309 S Agnew Ave,Oklahoma City,OK,35.452384,-97.554838
3701 N Youngs Blvd,Oklahoma City,OK,35.507994,-97.552373
3631 N Kelley Ave,Oklahoma City,OK,35.507415,-97.494686
3838 Springlake Dr,Oklahoma City,OK,35.509399,-97.492277
1201 N Pennsylvania Ave,Oklahoma City,OK,35.480928,-97.548119
114 W. Main St.,Stroud,OK,35.748807,-96.654499
319 E. Illinois Ave.,Vinita,OK,36.637372,-95.151357
5513 SE 72nd Ave,Portland,OR,45.482768,-122.589478
308 SW Washington St,Portland,OR,45.519569,-122.675257
621 SE Morrison St,Portland,OR,45.51743,-122.659143
1212 NW Glisan St,Portland,OR,45.526319,-122.68362
4138 SE Woodstock Blvd,Portland,OR,45.478945,-122.619763
3540 SE Belmont St,Portland,OR,45.51643,-122.626698
1469 NE Prescott St,Portland,OR,45.555572,-122.650152
3226 SE Division St,Portland,OR,45.504577,-122.632112
364 Freeport Road,Blawnox,PA,40.494019,-79.860289
809 Fifth Avenue,Coraopolis,PA,40.519833,-80.169803
232 S York Rd.,Hatboro,PA,40.173611,-75.107521
413 Pineville Rd,New Hope,PA,40.295895,-75.005828
224 S 15th St,Philadelphia,PA,39.948781,-75.16632
800 N 4th St,Philadelphia,PA,39.963914,-75.144527
2331 E Cumberland St,Philadelphia,PA,39.980369,-75.123015
435 Spring Garden St,Philadelphia,PA,39.961331,-75.146021
8826 Frankford Ave.,Philadelphia,PA,40.050142,-75.011106
201 Saline St,Pittsburgh,PA,40.427099,-79.949553
1211 Penn Avenue,Pittsburgh,PA,40.446127,-79.992238
1430 Potomac Ave,Pittsburgh,PA,40.396012,-80.034727
1130 Perry Hwy,Pittsburgh,PA,40.54793,-80.035458
19 S 27th St,Pittsburgh,PA,40.426387,-79.967209
144 Boon St.,Narragansett,RI,41.426027,-71.459655
777 Elmwood Ave,Providence,RI,41.791036,-71.422634
286 Brook St,Providence,RI,41.824643,-71.399099
2335 Main Rd.,Tiverton,RI,41.616134,-71.200142
827 Harden St,Columbia,SC,34.001025,-81.01724
62 State St.,Charleston,SC,32.780309,-79.928071
211 Rutledge Ave.,Charleston,SC,32.789266,-79.947184
1137 Morrison Dr.,Charleston,SC,32.811371,-79.949359
1644 Savannah Hwy.,Charleston,SC,32.787324,-80.01402
1219 Savannah Hwy.,Charleston,SC,32.7838,-79.998069
602 N Limestone St,Gaffney,SC,35.076543,-81.646002
2514 Augusta Hwy,Lexington,SC,33.979047,-81.311723
255 John B White Sr Blvd,Spartanburg,SC,34.940268,-81.943196
71 New Shackle Island Rd,Hendersonville,TN,36.304337,-86.63588
3132 E Magnolia Ave Ne,Knoxville,TN,35.994852,-83.885777
317 N Main St,Memphis,TN,35.153601,-90.049697
745 N Parkway,Memphis,TN,35.150924,-89.981419
5465 Fox Plaza Drive,Memphis,TN,35.07404,-89.881416
69 Monroe Avenue,Memphis,TN,35.144245,-90.054185
4381 Elvis Presley Blvd,Memphis,TN,35.028986,-90.025559
4087 New Getwell Rd,Memphis,TN,35.036989,-89.937458
3633 Millbranch Road,Memphis,TN,35.049512,-90.007937
605 8th Ave S,Nashville,TN,36.151466,-86.779609
2526 Franklin Pike,Nashville,TN,36.123306,-86.775861
3214 Charlotte Ave,Nashville,TN,36.153247,-86.823405
900 Rosa L Parks Blvd,Nashville,TN,36.169442,-86.78794
2121 Belcourt Ave,Nashville,TN,36.136525,-86.802762
7238 Nolensville Rd,Nolensville,TN,35.960974,-86.672336
2980 E Loop 1604,Adkins,TX,29.393558,-98.238788
1020 W Arkansas Ln,Arlington,TX,32.706095,-97.119118
502 W Randol Mill Rd,Arlington,TX,32.749758,-97.111803
517 E 6th St.,Austin,TX,30.266406,-97.73769
1400 Barton Springs Rd,Austin,TX,30.261492,-97.759233
1920 S Congress Ave,Austin,TX,30.24448,-97.751951
2529 S. Lamar Blvd.,Austin,TX,30.245909,-97.778358
15045 FM 2154 Rd,College Station,TX,30.53211,-96.300815
4714 Maple Ave,Dallas,TX,32.814245,-96.825427
1501 N Henderson Ave,Dallas,TX,32.807673,-96.770194
2615 Commerce St,Dallas,TX,32.783013,-96.785495
5901 Watauga Rd,Fort Worth,TX,32.86098,-97.253542
915 Currie St,Fort Worth,TX,32.749586,-97.358176
10890 Westheimer Rd,Houston,TX,29.736896,-95.568051
2327 Post Oak Blvd,Houston,TX,29.741721,-95.46096
88 Dennis St,Houston,TX,29.750046,-95.383869
2520 Montrose Blvd,Houston,TX,29.746483,-95.392196
2316 S Shepherd Dr,Houston,TX,29.745606,-95.410976
707 Hwy 146,Kemah,TX,29.541789,-95.019817
1901 Avenue H,Rosenberg,TX,29.558473,-95.80758
8142 Broadway St,San Antonio,TX,29.511277,-98.465916
1150 Austin Hwy,San Antonio,TX,29.48671,-98.447623
6989 Blanco Rd,San Antonio,TX,29.519345,-98.507484
1127 Harry Wurzbach Rd,San Antonio,TX,29.469804,-98.438695
5714 Evers Rd,San Antonio,TX,29.488981,-98.598141
145 E Hildebrand Ave,San Antonio,TX,29.466706,-98.492265
606 W. Cypress St.,San Antonio,TX,29.440457,-98.50055
606 Embassy Oaks,San Antonio,TX,29.564561,-98.48948
2814 Fredericksburg Rd.,San Antonio,TX,29.470217,-98.531241
Williams' Creek Depot - FM 470,Tarpley,TX,29.65717,-99.27643
206 W 2nd St,Taylor,TX,30.568827,-97.411098
5291 S 1900 W,Roy,UT,41.167621,-112.026386
2041 E 2100 S,Salt Lake City,UT,40.725509,-111.831972
2265 Fort Union Boulevard,Salt Lake City,UT,40.624293,-111.825813
232 E 800 S,Salt Lake City,UT,40.751672,-111.884107
155 W Commonwealth Ave,Salt Lake City,UT,40.72435,-111.895505
736 W North Temple,Salt Lake City,UT,40.771914,-111.91249
2100 Emigration Canyon,Salt Lake City,UT,40.785756,-111.71636
4711 Lee Hwy,Arlington,VA,38.898077,-77.122904
300 W Broad St,Falls Church,VA,38.884204,-77.173704
1919 Monticello Ave.,Norfolk,VA,36.866164,-76.284848
2500 Church St,Norfolk,VA,36.869699,-76.279304
3205 Stamford Rd,Portsmouth,VA,36.860942,-76.390675
1505 Airline Blvd,Portsmouth,VA,36.826163,-76.347524
21088 Marina Road,Rescue,VA,36.994804,-76.561927
4030 Macarthur Ave.,Richmond,VA,37.58992,-77.458577
1001 W Grace St.,Richmond,VA,37.550889,-77.453397
