name,address,city,state,zip,phone,website,latitude,longitude
Schooner or Later,241 N. Marina Dr.,Long Beach,CA,90803,(562) 430-3495,http://www.schoonerorlater.com,33.752191,-118.108256
Baby Blues BBQ,444 Lincoln Blvd,Los Angeles,CA,90291,(310) 396-7675,http://www.babybluesbarbq.com,34.00037,-118.465402
Don Chow Tacos,11500 Tennessee Ave,Los Angeles,CA,90064,,http://www.donchowtacos.com/,34.034367,-118.442679
Gloria's Cafe,10227 Venice Blvd,Los Angeles,CA,90034,(310) 838-0963,http://www.gloriascafela.com/,34.021572,-118.402733
Mom's Tamales,3328 Pasadena Ave,Los Angeles,CA,90031,(323) 226-9383,http://www.momstamales.com/,34.083838,-118.213303
Polka,4112 Verdugo Rd,Los Angeles,CA,90065,(323) 255-7887,http://www.polkacatering.com,34.125448,-118.231575
The Nickel Diner,524 S Main St,Los Angeles,CA,90013,(213)  623-8301,http://5cdiner.com/,34.045909,-118.248799
North End Caffe,3421 N Highland Ave,Manhattan Beach,CA,90266,(310) 546-4782,http://www.northendcaffe.net/,33.899534,-118.417386
Aunt Mary's Cafe,4307 Telegraph Ave,Oakland,CA,94609,(510) 601-9227,http://www.auntmaryscafe.com/,37.831817,-122.264082
Hodad's,5010 Newport Ave.,Ocean Beach,CA,92107,(619) 224-4623,http://www.hodadies.com/,32.747199,-117.251153
Gorilla Barbeque,2145 Coast Hwy,Pacifica,CA,94044,(650) 359-7427,http://www.gorillabbq.com,37.613037,-122.48782
Duarte's Tavern,202 Stage Rd.,Pescadero,CA,94060,(650) 879-0464,http://www.duartestavern.com,37.252196,-122.382778
Ramona Cafe,628 Main St,Ramona,CA,92065,(760) 789-8656,http://www.ramonacafe.com,33.045018,-116.862679
Fab Hot Dogs,6747 Tampa Ave,Reseda,CA,91335,(818) 344-4336,http://www.fabhotdogs.com/,34.193356,-118.553737
Cafe Rolle,5737 H St,Sacramento,CA,95819,(916) 455-9140,http://www.caferolle.com,38.567392,-121.431626
Dad's Kitchen,2968 Freeport Blvd,Sacramento,CA,95818,(916) 447-DADS,http://www.ilovedadskitchen.com/,38.550889,-121.4892
Gatsby's Diner,2598 Alta Arden Expy,Sacramento,CA,95825,(916) 977-0102,http://gatsbysdiner.com/,38.599511,-121.402091
Jamie's Broadway Grill,427 Broadway,Sacramento,CA,95818,(916) 442-4044,http://www.jamiesbroadwaygrille.com,38.565892,-121.507674
Squeeze Inn,5301 Power Inn Rd,Sacramento,CA,95820,(916) 386-8599,http://www.thesqueezeinn.com/,38.526854,-121.408546
The Golden Bear,2326 K St,Sacramento,CA,95816,(916) 441-2242,http://www.goldenbear916.com/,38.574029,-121.475488
Bubba's Diner,566 San Anselmo Ave,San Anselmo,CA,94960,(415) 459-6862,http://www.bubbas-diner.net,37.975646,-122.562458
Blue Water Seafood,3667 India St,San Diego,CA,92103,(619) 497-0914,http://www.bluewater.sandiegan.com/,32.742054,-117.179801
El Indio,3695 India St.,San Diego,CA,92103,(619) 299-0333,http://www.el-indio.com,32.742281,-117.180145
Hob Nob Hill,2271 1st Ave,San Diego,CA,92101,(619) 239-8176,http://www.hobnobhill.com,32.728987,-117.163743
Pizzeria Luigi,1137 25th St,San Diego,CA,92102,(619) 233-3309,http://www.pizzerialuigi.com,32.717641,-117.140077
Studio Diner,4701 Ruffin Rd.,San Diego,CA,92123,(858) 715-6400,http://www.studiodiner.com,32.825168,-117.127064
Tioli's Crazy Burger,4201 30th Street,San Diego,CA,92104,619-282-6044,http://www.tioliscrazeeburger.com,32.754227,-117.129983
Broken Record,1166 Geneva Ave,San Francisco,CA,94112,(415) 963-1713,http://www.brokenrecordsanfrancisco.com/,37.714326,-122.436926
Dottie's True Blue Cafe,522 Jones St,San Francisco,CA,94102,(415) 885-2767,http://bourbonandbranch.com/,37.786172,-122.412852
Grubstake Diner,1525 Pine Street,San Francisco,CA,94109,(415) 673-8268,http://www.sfgrubstake.com,37.789363,-122.420842
HRD Coffee Shop,521 3rd St,San Francisco,CA,94107,(415) 543-2355,http://www.hrdcoffeeshop.com/,37.781202,-122.395225
Joe's Cable Car,4320 Mission St.,San Francisco,CA,94112,(415) 334-6699,http://www.joescablecar.com,37.728461,-122.431903
Pier 23 Cafe,pier 23 the embarcadero,San Francisco,CA,94111,(415) 362-5125,http://www.pier23cafe.com/main.php,37.803378,-122.400909
Q Restaurant,225 Clement St,San Francisco,CA,94118,(415) 752-2298,http://www.qrestaurant.com/,37.782882,-122.4617
Rocco's Cafe and Catering,1131 Folsom St,San Francisco,CA,94103,(415) 554-0522,http://www.roccoscafe.com/,37.775955,-122.408454
Tee Off Bar and Grill,3129 Clement St,San Francisco,CA,94121,(415) 752-5439,http://www.teeoffbarandgrill.com/,37.781424,-122.492953
Tommy's Joynt,1101 Geary Blvd,San Francisco,CA,94109,(415) 775-4216,http://www.tommysjoynt.com,37.785497,-122.421804
Falafel's Drive-In,2301 Stevens Creek Blvd,San Jose,CA,95128,(408) 294-7886,http://www.falafelsdrivein.com,37.323653,-121.935043
Los Tapatios,1141 Old Bayshore Highway,San Jose,CA,95112,(408) 729-6199,,37.364003,-121.896307
Naglee Park Garage,505 E San Carlos St,San Jose,CA,95112,(408) 286-1100,http://www.nagleeparkgarage.com/,37.336858,-121.876192
Gaffey Street Diner,247 N Gaffey St,San Pedro,CA,90731,(310) 548-6724,,33.74501,-118.292661
Sol Food,732 4th St,San Rafael,CA,94901,(415) 451-4765,http://www.solfoodrestaurant.com,37.972629,-122.523616
Aldo's Harbor Restaurant,616 Atlantic Ave,Santa Cruz,CA,95062,(831) 426-3736,http://www.aldos-cruz.com/,36.96397,-122.002798
Santa Cruz Diner,909 Ocean St,Santa Cruz,CA,95060,(831) 426-7151,http://www.santacruzdiner.com,36.980345,-122.021858
Patrick's Roadhouse,106 Entrada Dr,Santa Monica,CA,90402,(310) 459-4544,http://www.patricksroadhouse.info/,34.027876,-118.518413
Antojitos La Texanita,1667 Sebastopol Rd,Santa Rosa,CA,95407,(707) 525-1905,,38.427847,-122.738307
Hank's Creekside Restaurant,2800 4th St,Santa Rosa,CA,95405,(707) 575-8839,http://www.sterba.com/sro/creekside/,38.449293,-122.688951
Willie Bird's Restaurant,1150 Santa Rosa Ave.,Santa Rosa,CA,95404,(707)-542-0861,http://www.williebird.com,38.426003,-122.713206
Worth Our Weight,1021 Hahman Dr,Santa Rosa,CA,95405,(707) 544-1200,http://www.worthourweight.com/,38.441553,-122.685679
Brats Brothers,13456 Ventura Blvd,Sherman Oaks,CA,91423,(818) 986-4020,http://www.bratsbrothers.com/,34.147016,-118.426869
Schellville Grill,22900 Broadway,Sonoma,CA,95476,(707) 996-5151,http://www.schellvillegrill.com,38.244382,-122.448882
Sunflower Caffe Espresso & Wine Bar,421 1st St W,Sonoma,CA,95476,(707) 996-6645,http://www.sonomasunflower.com/,38.293441,-122.458915
Taylor's Automatic Refresher,933 Main St,St Helena,CA,94574,(707) 963-3486,http://www.taylorsrefresher.com,38.501897,-122.465448
Burger Me,10418 Donner Pass Rd,Truckee,CA,96161,(530) 587-8852,,39.325508,-120.19122
JAX at the Tracks,10144 W River St,Truckee,CA,96161,(530) 550-7450,http://jaxtruckee.com/media.html,39.327434,-120.184096
Emma Jean's Holland Burger Cafe,17143 D Street on Rt. 66,Victorville,CA,92394,(760) 243-9938,http://www.hollandburger.com/home.html,34.536107,-117.291156
Giusti's,14743 Walnut Grove Thornton Rd,Walnut Grove,CA,95690,(916) 776-1808,http://www.giustis.com,38.223644,-121.507182
Putah Creek Cafe,210 Railroad Ave,Winters,CA,95694,(530) 795-2682,http://www2.buckhornsteakhouse.com/item.asp?id=3,38.521524,-121.968919
Foolish Craig's Cafe,1611 Pearl St,Boulder,CO,80302,(303) 247-9383,http://foolishcraigs.com/page/nvot/Home_Page.html,40.019327,-105.274493
The Sink,1165 13th St,Boulder,CO,80302,(303) 444-7465,http://www.thesink.com/,40.008581,-105.276405
Lauer Krauts,26 N 6th Ave,Brighton,CO,80601,(303) 654-9700,http://lauer-krauts.com/default.aspx,39.986972,-104.815374
Bang!,3472 W 32nd Ave,Denver,CO,80211,(303) 455-1117,http://www.bangdenver.com/,39.761932,-105.033994
Sam's No. 3,1500 Curtis St,Denver,CO,80202,(303) 534-1927,http://samsno3.com/,39.746282,-104.995692
Steuben's,523 E 17th Ave,Denver,CO,80203,(303) 830-1001,http://www.steubens.com/,39.743521,-104.980365
The Bagel Deli,6439 E Hampden Ave,Denver,CO,80222,(303) 756-6667,http://bageldeli.com/,39.6542,-104.914089
Tocabe,3536 W 44th Ave,Denver,CO,80211,(720) 524-8282,http://www.tocabe.com/,39.776496,-105.034255
Merritt Canteen,4355 Main St,Bridgeport,CT,6606,(203) 372-1416,http://www.merrittcanteen.com/welcome.htm,41.219074,-73.216271
Corey's Catsup & Mustard,623 Main St,Central Manchester,CT,6040,(860) 432-7755,http://catsupandmustard.com/,41.773841,-72.521071
Super Duper Weenie,306 Black Rock Tpke,Fairfield,CT,6825,(203) 334-3647,http://www.superduperweenie.com,41.16406,-73.233673
Wilson's Holy Smoke BBQ,1851 Post Rd,Fairfield,CT,6824,(203) 319-7427,http://www.wilsons-bbq.com,41.140903,-73.264252
O'Rourke's Diner,728 Main St,Middletown,CT,6457,(860) 346-6101,http://www.orourkesdiner.com,41.565926,-72.652535
Valencia Luncheria,72 Main St,Norwalk,CT,6851,(203) 846-8009,http://www.valencialuncheria.com,41.120849,-73.413098
Black Duck Cafe,605 Riverside Ave,Westport,CT,6880,(203) 227-7978,http://www.niteimage.com/clubs/blackduck/blackduckcafe.htm,41.120322,-73.369701
Comet Ping Pong,5037 Connecticut Ave NW,Washington,DC,20008,(202) 364-0404,http://www.cometpingpong.com/,38.955972,-77.069892
Oohhs & Aahhs Soul Food,1005 U St NW,Washington,DC,20001,(202) 667-7142,http://www.oohhsnaahhs.com/,38.917205,-77.026265
Tortilla Cafe,210 7th St SE,Washington,DC,20003,(202) 547-5700,http://tortillacafe.com/,38.886968,-76.995652
Tune Inn Restaurant & Bar,331 Pennsylvania Ave SE,Washington,DC,20003,(202) 543-2725,,38.886369,-77.001167
Culhane's Irish Pub,967 Atlantic Blvd,Atlantic Beach,FL,32233,(904) 249-9595,http://www.culhanesirishpub.com/,30.325773,-81.410795
Flakowitz of Boynton,7410 Boynton Beach Blvd,Boynton Beach,FL,33437,(561) 742-4144,http://www.flakowitzofboynton.com/,26.526242,-80.162687
Jose's Real Cuban Food,8799 Cortez Rd W,Bradenton,FL,34210,(941) 795-4898,http://josesrealcubanfood.com/,27.461464,-82.649786
Grampa's Bakery & Restaurant,17 SW First Street,Dania Beach,FL,33004,(954) 923-2163,http://www.grampasbakery.com/,26.050733,-80.144173
Whale's Rib Raw Bar,2031 NE 2nd Street,Deerfield Beach,FL,33441,(954) 421-8880,,26.316699,-80.076565
Sonny's Famous Steak Hoagies,1857 NW 66th Ave,Hollywood,FL,33024,(954) 989-0561,,26.025638,-80.220443
Keegan's Seafood Grille,1519 Gulf Blvd.,Indian Rocks Beach,FL,33785,(727) 596-2477,http://www.keegansseafood.com,27.898657,-82.847876
13 Gypsies,887 Stockton St,Jacksonville,FL,32204,(904) 389-0330,http://www.13gypsies.com/,30.315095,-81.689063
Metro Diner,3302 Hendricks Ave,Jacksonville,FL,32207,(904) 398-3701,http://www.metrodinerjax.com/,30.291148,-81.648882
Singletons Seafood Shack,4728 Ocean St,Jacksonville,FL,32233,(516) 826-1610,http://www.singletonsseafoodshack.com/,30.394549,-81.430345
Jamaica Kitchen,8736 Sunset Drive,Kendall Lakes,FL,33173,(305) 596-2585,http://www.jamaicakitchen.com,25.701844,-80.343534
Havana Hideout,509 Lake Ave,Lake Worth,FL,33460,(561) 585-8444,http://havanahideout.com,26.615638,-80.053833
La Camaronera Fish Market,1952 W Flagler St,Miami,FL,33135,(305) 642-3322,http://garciabrothersseafood.com,25.772327,-80.227666
Scully's Tavern,9809 SW 72nd St.,Miami,FL,33173,(305) 271-7404,http://scullystavern.com/,25.702142,-80.351998
11th Street Diner,1065 Washington Avenue,Miami Beach,FL,33139,(305) 354-6373,http://www.eleventhstreetdiner.com,25.781806,-80.132296
Tap Tap Restaurant,819 5th St,Miami Beach,FL,33139,(305) 672-2898,http://www.taptaprestaurant.com/,25.774807,-80.136556
Blue Marlin Fish House,2500 NE 163rd St,North Miami Bch,FL,33160,(305) 957-8822,http://www.bluemarlinfishhouse.com/,25.925394,-80.149707
Alpine Steakhouse,4520 S. Tamiami Trail,Sarasota,FL,34231,(941) 922-3797,http://www.alpinesteak.com,27.288047,-82.531089
Benny's Seafood Restaurant,2500 SW 107th Ave.,South Miami,FL,33165,(305) 227-1232,http://www.bennyseafood.com,25.745837,-80.368651
Ted Peters Famous Smoked Fish,1350 Pasadena Ave,South Pasadena,FL,33707,(727) 381-7931,,27.75589,-82.736816
Munch's Sundries and Restaurant,3920 6th St S,St Petersburg,FL,33705,(727) 896-5972,http://munchburger.com/,27.732997,-82.64056
California Tacos To Go,1450 Skipper Rd,Tampa,FL,33613,(813) 971-8226,http://californiatacostogo.com/,28.081429,-82.443805
Tampa Bay Brewing Company,1600 E 8th Ave,Tampa,FL,33605,(813) 247-1422,http://www.tampabaybrewingcompany.com/,27.960655,-82.441628
Tampa Taco Bus,913 E Hillsborough Ave,Tampa,FL,33603,(813) 232-5889,http://tampatacobus.com/,27.995771,-82.45028
Cabbage Town Market *closed*,198 Carroll St SE,Atlanta,GA,30312,(404) 221-9186,http://www.cabbagetownmarket.com,33.749216,-84.367923
Colonnade,1879 Cheshire Bridge Road NE,Atlanta,GA,30084,(404) 874-5642,http://www.colonnadeatl.com/,33.80925,-84.360929
The Highlander,931 Monroe Dr. Suite C-101,Atlanta,GA,30308,(404) 872-0060,http://www.thehighlanderatlanta.com,33.779756,-84.367847
The Silver Skillet,200 14th St Nw,Atlanta,GA,30318,(404) 874-1388,http://thesilverskillet.com,33.786238,-84.394261
Marietta Diner,306 Cobb Parkway,Marietta,GA,30060,(770) 423-9390,http://www.mariettadiner.net,33.944756,-84.517488
Southern Soul BBQ,2020 Demere Rd,St Simons,GA,31522,(912) 638-SOUL,http://www.southernsoulbbq.com/,31.159633,-81.387938
Blackwater Grill,260 Redfern Dr,St Simons Island,GA,31522,(912) 634-6333,http://www.blackwatergrill.com/,31.169334,-81.389151
Matthews Cafeteria,2299 Main Street,Tucker,GA,30084,(770) 939-2357,http://www.matthewscafeteria.com,33.852098,-84.213555
Hank's Haute Dogs,324 Coral St,Honolulu,HI,96805,(808) 532-4265,http://www.hankshautedogs.com,21.297929,-157.861039
Murphy's Bar & Grill,2 Merchant St,Honolulu,HI,96813,(808) 531-0422,http://gomurphys.com/index.html,21.31014,-157.863389
Nico's Pier 38,1133 N Nimitz Hwy,Honolulu,HI,96817,(808) 540-1377,http://www.nicospier38.com/,21.318587,-157.877667
Rainbow Drive-In,3308 Kanaina Ave,Honolulu,HI,96815,(808) 737-0177,http://www.rainbowdrivein.com,21.275926,-157.814544
Germaine's Luau,91-119 Olai St,Kapolei,HI,96707,(800) 367-5655,http://www.germainesluau.com/index.htm,21.29647,-158.105473
Poke Stop,1840 Meheula Pkwy,Mililani Town,HI,96789,(808) 626-3400,http://www.poke-stop.com/restaurant.php,21.468072,-158.002441
Highway Inn,94-226 Leoku St,Waipahu,HI,96797,(808) 677-4345,http://www.myhighwayinn.com,21.379154,-158.024678
Donnie Mac's Trailer Park Cuisine *closed*,1515 W Grove St,Boise,ID,83702,(208) 384-9008,http://donniemacgrub.com/,43.619152,-116.21329
Bar Gernika,202 S Capitol Blvd,Boise City,ID,83702,(208)344-2175,http://www.bargernika.com,43.614072,-116.202967
Donn's Hill Top - Kodiak Grill,12342 E Hwy 21,Boise City,ID,83716,(208) 338-8859,,43.570815,-116.026955
PizzalChik,7330 W State St,Boise City,ID,83714,(208) 853-7757,http://www.pizzalchik.com/,43.66873,-116.279703
West Side Drive-In,1939 W State St,Boise City,ID,83702,(208) 342-2957,http://www.cheflou.com/,43.626117,-116.214942
Capone's Pub & Grill,751 N 4th St,Coeur d'Alene,ID,83814,(208) 667-4843,http://caponespub.com/,47.680152,-116.781324
Jimmy's Down The Street Cafe,1613 E Sherman Ave,Coeur d'Alene,ID,83814,(208) 765-3868,http://www.jimmysdownthestreet.com/,47.673492,-116.762511
Rick's Press Room Grill and Bar,130 E Idaho Ave,Meridian,ID,83642,(208) 288-0558,http://www.rickspressroom.net/,43.611304,-116.39061
Frosted Mug *closed*,11541 S Pulaski Rd,Alsip,IL,60803,(574) 259-0214,,41.682393,-87.71967
Chuck's Southern Comforts Cafe,6501 W 79th St,Burbank,IL,60459,(708) 229-8700,http://www.chuckscafe.com/,41.74804,-87.782966
Big & Littles,939 N Orleans St,Chicago,IL,60610,,,41.900045,-87.637017
Cemita's Puebla,3619 W North Ave,Chicago,IL,60647,(773) 772-8435,http://www.cemitaspuebla.com/,41.909728,-87.717612
Chilam Balam,3023 N Broadway St,Chicago,IL,60657,(773) 296 6901,http://www.chilambalamchicago.com/,41.936775,-87.644281
DMK Burger Bar,2954 N Sheffield Ave,Chicago,IL,60657,(773) 360-8686,http://www.dmkburgerbar.com/,41.936057,-87.654147
Galewood Cookshack,2135 N Milwaukee Ave,Chicago,IL,60647,(773) 470-8334,http://www.galewoodcookshack.com/Site/home.html,41.920157,-87.692194
Garifuna Flava Caribbean Cuisine,2516 W 63rd St,Chicago,IL,60629,(773) 776-7440,http://www.garifunaflava.com/,41.779497,-87.686845
Glenn's Diner,1820 West Montrose Avenue,Chicago,IL,60613,(773) 506-1720,http://www.glennsdiner.com,41.961738,-87.675514
Honky Tonk BBQ,1213 W 18th St,Chicago,IL,60608,(312) 226-7427,http://www.honkytonkbbqchicago.com/,41.857939,-87.656985
Irazu,1865 N Milwaukee Ave,Chicago,IL,60647,(773) 252-5687,http://www.irazuchicago.com/,41.915537,-87.685056
Kuma's Corner,2900 W Belmont Ave,Chicago,IL,60618,(773) 604-8769,http://www.kumas-corner.com/,41.939516,-87.700447
Nana Organic,3267 S Halsted St,Chicago,IL,60608,(312) 929-2486,http://www.nanaorganic.com/live/,41.834543,-87.645954
Panozzo's Italian Market,1865 N Milwaukee Ave,Chicago,IL,60647,(312) 356-9966,http://www.panozzos.com/home/,41.915537,-87.685056
Smoque,3800 N. Pulaski Rd.,Chicago,IL,60641,(773) 545-7427,http://www.smoquebbq.com/,41.950185,-87.727698
Taste of Peru,6545 N Clark St,Chicago,IL,60626,(773) 381-4540,http://www.tasteofperu.com/,42.001323,-87.671275
The Depot American Diner,5840 W Roosevelt Rd,Chicago,IL,60644,(773) 261-8422,,41.865515,-87.770601
Tre Kronor,3258 W Foster Ave,Chicago,IL,60625,(773) 267-9888,http://www.trekronorrestaurant.com/,41.975912,-87.710989
Tufano's Vernon Park Tap,1073 W Vernon Park Pl,Chicago,IL,60607,(312) 733-3393,,41.872875,-87.654017
Vito & Nick's Pizzeria,8433 S Pulaski Rd,Chicago,IL,60652,(773) 735-2050,http://www.vitoandnick.com,41.739274,-87.721318
White Palace Grill,1159 S. Canal St.,Chicago,IL,60607,(312) 939-7167,www.thediningcarandmarket.com,41.86755,-87.638968
Paradise Pup,1724 S. River Rd.,Des Plaines,IL,60018,(847) 699-8590,,42.022159,-87.876079
Hackney's,1241 Harms Rd,Glenview,IL,60025,(847) 724-5577,http://www.hackneys.net,42.077965,-87.770014
Charlie Parker's,700 North St.,Springfield,IL,62704,(217) 241-2104,http://www.charlieparkersdiner.net/,39.766076,-89.663594
The Shanty,38995 N Old Highway 41,Wadsworth,IL,60083,(841) 336-0262,http://www.theshantyrestaurant.com/,42.444372,-87.939323
Dell Rhea's Chicken Basket,645 Joliet Rd,Willowbrook,IL,60527,(630) 325-0780,http://www.chickenbasket.com/,41.74561,-87.939204
Jerseys Cafe,13710 N Meridian St,Carmel,IN,46032,(317) 846-7760,http://www.facebook.com/pages/Carmel/Jerseys-Cafe/220350423522?v=info,39.987641,-86.138685
South Side Soda Shop,1122 S Main St,Goshen,IN,46526,(574) 534-3790,http://www.southsidesodashopdiner.com/,41.57174,-85.829784
3 Sisters Cafe,6360 Guilford Ave,Indianapolis,IN,46220,(317) 257-5556,http://www.3sisterscafein.com/ordereze/1000/Page.aspx,39.871941,-86.143065
Steer-In Restaurant,5130 E 10th St,Indianapolis,IN,46219,(317) 356-0996,http://www.steerin.net/,39.781813,-86.082333
The Barking Dog Cafe,115 E 49th St,Indianapolis,IN,46205,(317) 924-2233,http://www.barkingdogindy.com/index.html,39.842518,-86.154111
The Tamale Place,5242 Rockville Rd,Indianapolis,IN,46224,(317) 248-9771,http://www.thetamaleplace.com/,39.76551,-86.249917
Zest-Exciting Food Creations,1134 E 54th St,Indianapolis,IN,46220,(317) 466-1853,http://www.zestexcitingfood.com/,39.851459,-86.138688
Zydeco's,11 E Main St,Mooresville,IN,46158,(317) 834-3900,http://www.zydecos.net/,39.612567,-86.374356
Triple X Restaurant,2 N Salisbury St,West Lafayette,IN,47906,(765) 743-5373,http://www.triplexxxfamilyrestaurant.com,40.422715,-86.905365
Cafe on the Route,1101 Military Ave.,Baxter Springs,KS,66713,(620) 856-5646,http://www.cafeontheroute.com,37.02465,-94.735278
Woodyard Bar-B-Que,3001 Merriam Ln,Kansas City,KS,66106,(913) 362-8000,http://www.woodyardbbq.com/,39.045578,-94.662458
Johnny's Hickory House Bar-B-Q,5959 Broadmoor St,Mission,KS,66202,(913) 432-0777,http://johnnysbbq.net,39.020761,-94.665238
RJ's Bob-Be-Que,5835 Lamar Ave,Mission,KS,66202,(913) 262-7300,http://www.rjsbbq.com/,39.022812,-94.658092
BBQ Shack,705 N. Pearl St.,Paola,KS,66071,(913) 294-5908,http://www.thebbqshack.com,38.579472,-94.8752
